times,EcellV,ImA,EnergyChargeWh,QChargemAh,EnergyDischargeWh,QDischargemAh,TemperatureC,cycleNumber,Ns
138471.79518055,3.751889,-4274.1157,7.01872324647985,0.0,-3.38683014491239,893.619920515951,28.848671,18,5
138472.795180655,3.7514951,-4272.5396,7.01872324647985,0.0,-3.39128250347849,894.806742948134,28.824951,18,5
138473.795180759,3.7510226,-4272.1455,7.01872324647985,0.0,-3.39573490018994,895.993725062934,28.832857,18,5
138474.795180863,3.7507074,-4272.7363,7.01872324647985,0.0,-3.40018788673469,897.18096418457,28.872395,18,5
138475.795180968,3.7503138,-4275.1006,7.01872324647985,0.0,-3.40464048599276,898.368224649794,28.769602,18,5
138476.795181072,3.7499199,-4274.5098,7.01872324647985,0.0,-3.40909277196993,899.555526273872,28.896116,18,5
138477.795181176,3.7496047,-4274.7065,7.01872324647985,0.0,-3.41354574831543,900.74311181939,28.737974,18,5
138478.79518128,3.7491715,-4275.6919,7.01872324647985,0.0,-3.41799844288909,901.930759431424,28.93565,18,5
138479.795181385,3.7486989,-4275.2979,7.01872324647985,0.0,-3.42245067964546,903.118434626465,28.603554,18,5
138480.795181489,3.7484233,-4276.874,7.01872324647985,0.0,-3.42690332629605,904.306306499295,28.619366,18,5
138481.795181593,3.7479901,-4277.2676,7.01872324647985,0.0,-3.43135620703982,905.494378129069,28.714251,18,5
138482.795181698,3.7476358,-4278.6475,7.01872324647985,0.0,-3.43580872430733,906.682465087348,28.753786,18,5
138483.795181802,3.7472026,-4278.0562,7.01872324647985,0.0,-3.44026115341364,907.870665870768,28.77751,18,5
138484.795181906,3.7468088,-4278.8442,7.01872324647985,0.0,-3.44471401922755,909.059108113336,28.55611,18,5
138485.795182011,3.7464149,-4279.8291,7.01872324647985,0.0,-3.44916677494547,910.247645912001,28.722157,18,5
138486.795182115,3.7460999,-4279.4351,7.01872324647985,0.0,-3.45361917436162,911.436188523492,28.74588,18,5
138487.795182219,3.7455485,-4279.041,7.01872324647985,0.0,-3.45807166408604,912.624930236545,28.730066,18,5
138488.795182323,3.7452729,-4281.7993,7.01872324647985,0.0,-3.46252458336451,913.813874120551,28.793322,18,5
138489.795182428,3.7448397,-4279.8291,7.01872324647985,0.0,-3.46697689617825,915.00279359592,28.658901,18,5
138490.795182532,3.7445641,-4279.2378,7.01872324647985,0.0,-3.47142930631623,916.191826570367,28.650995,18,5
138491.795182637,3.7441702,-4280.6172,7.01872324647985,0.0,-3.47588216530213,917.381104504124,28.809137,18,5
138492.795182741,3.7437763,-4283.5723,7.01872324647985,0.0,-3.4803349394264,918.570484889594,28.761692,18,5
138493.795182845,3.7433431,-4282.5874,7.01872324647985,0.0,-3.48478714626063,919.759851372342,28.880301,18,5
138494.795182949,3.7429888,-4282.1934,7.01872324647985,0.0,-3.48923980713942,920.949451739095,28.785416,18,5
138495.795183054,3.742595,-4282.5874,7.01872324647985,0.0,-3.49369261439432,922.139216409234,28.77751,18,5
138496.795183158,3.7421618,-4284.1636,7.01872324647985,0.0,-3.49814495455943,923.328993992784,28.793322,18,5
138497.795183262,3.7419255,-4284.9517,7.01872324647985,0.0,-3.50259750750418,924.518903564996,28.706345,18,5
138498.795183367,3.7414923,-4284.9517,7.01872324647985,0.0,-3.50705027351588,925.709007857259,28.730066,18,5
138499.795183471,3.7411771,-4283.3755,7.01872324647985,0.0,-3.51150309112707,926.899226206597,28.793322,18,5
138500.795183575,3.7407439,-4284.9517,7.01872324647985,0.0,-3.51595531083434,928.089422556695,28.63518,18,5
138501.79518368,3.7402713,-4284.7544,7.01872324647985,0.0,-3.52040766692954,929.279805740831,28.666809,18,5
138502.795183784,3.7399564,-4286.5278,7.01872324647985,0.0,-3.5248603759501,930.470383536241,28.919836,18,5
138503.795183888,3.7396019,-4287.1187,7.01872324647985,0.0,-3.5293127132334,931.660974797363,28.61146,18,5
138504.795183993,3.7392082,-4288.104,7.01872324647985,0.0,-3.53376488263913,932.851646496311,28.872395,18,5
138505.795184097,3.7388537,-4288.1035,7.01872324647985,0.0,-3.53821767547235,934.042597840983,28.817045,18,5
138506.795184201,3.7383811,-4286.3306,7.01872324647985,0.0,-3.54267031183939,935.23365787245,28.872395,18,5
138507.795184305,3.7381842,-4287.3159,7.01872324647985,0.0,-3.54712263920327,936.424697989638,28.991001,18,5
138508.79518441,3.7377117,-4289.4829,7.01872324647985,0.0,-3.55157514375122,937.615936090224,28.840765,18,5
138509.795184514,3.7372785,-4288.104,7.01872324647985,0.0,-3.55602798315102,938.807401870931,28.801229,18,5
138510.795184618,3.7369633,-4288.4976,7.01872324647985,0.0,-3.56048055374867,939.99889621365,28.864487,18,5
138511.795184723,3.7366483,-4289.4829,7.01872324647985,0.0,-3.5649329294272,941.190438819716,28.864487,18,5
138512.795184827,3.7363334,-4291.6504,7.01872324647985,0.0,-3.56938582219105,942.382220259603,28.761692,18,5
138513.795184931,3.7358212,-4291.0591,7.01872324647985,0.0,-3.57383857245918,943.574126931153,28.643089,18,5
138514.795185036,3.7355063,-4288.6948,7.01872324647985,0.0,-3.57829089948921,944.766020794271,28.848671,18,5
138515.79518514,3.7351518,-4289.2856,7.01872324647985,0.0,-3.58274357826941,945.958121960992,28.761692,18,5
138516.795185244,3.7346399,-4291.0591,7.01872324647985,0.0,-3.58719628987944,947.1503953125,28.785416,18,5
138517.795185349,3.7343643,-4292.2412,7.01872324647985,0.0,-3.59164877998335,948.342697343208,28.793322,18,5
138518.795185453,3.7340097,-4293.2261,7.01872324647985,0.0,-3.59610112121474,949.535072708605,28.888206,18,5
138519.795185557,3.7336552,-4293.8174,7.01872324647985,0.0,-3.60055384063404,950.727662587348,28.769602,18,5
138520.795185661,3.7333403,-4294.6055,7.01872324647985,0.0,-3.60500686687743,951.920435259874,28.91193,18,5
138521.795185766,3.7328677,-4294.8027,7.01872324647985,0.0,-3.60945922041056,953.113178713379,28.809137,18,5
138522.79518587,3.7325528,-4293.6201,7.01872324647985,0.0,-3.61391169259915,954.306054599338,28.730066,18,5
138523.795185974,3.7321196,-4294.6055,7.01872324647985,0.0,-3.61836448910859,955.499155848524,28.840765,18,5
138524.795186079,3.7318437,-4295.7871,7.01872324647985,0.0,-3.62281726491028,956.692339740397,28.817045,18,5
138525.795186183,3.7314501,-4296.3784,7.01872324647985,0.0,-3.62726953510526,957.885514002008,28.698437,18,5
138526.795186287,3.7310169,-4297.1665,7.01872324647985,0.0,-3.63172211534513,959.078909901801,28.627272,18,5
138527.795186392,3.7306623,-4296.5757,7.01872324647985,0.0,-3.63617503406286,960.272509939779,28.587736,18,5
138528.795186496,3.7303474,-4295.5903,7.01872324647985,0.0,-3.64062766258209,961.466132958713,28.769602,18,5
138529.7951866,3.7299535,-4297.3638,7.01872324647985,0.0,-3.64508023168781,962.659866090495,28.927742,18,5
138530.795186704,3.7295597,-4299.1367,7.01872324647985,0.0,-3.64953296579833,963.85376953125,28.714251,18,5
138531.795186809,3.7291658,-4298.3486,7.01872324647985,0.0,-3.65398568601444,965.047795343967,28.57983,18,5
138532.795186913,3.7287719,-4297.561,7.01872324647985,0.0,-3.65843797716502,966.241832211914,28.643089,18,5
138533.795187017,3.7284963,-4300.7129,7.01872324647985,0.0,-3.66289045747917,967.436008078071,28.817045,18,5
138534.795187122,3.7280631,-4298.3486,7.01872324647985,0.0,-3.66734339122119,968.630444334852,28.74588,18,5
138535.795187226,3.7277088,-4298.5459,7.01872324647985,0.0,-3.67179610823414,969.824935973579,28.674715,18,5
138536.79518733,3.7273936,-4299.1367,7.01872324647985,0.0,-3.67624841448512,971.019418417969,28.753786,18,5
138537.795187435,3.7269998,-4301.3037,7.01872324647985,0.0,-3.68070105956935,972.214118007813,28.698437,18,5
138538.795187539,3.7266848,-4302.0923,7.01872324647985,0.0,-3.68515402795711,973.409005318197,28.643089,18,5
138539.795187643,3.7263699,-4302.6831,7.01872324647985,0.0,-3.68960663102306,974.603895582954,28.698437,18,5
138540.795187748,3.7259367,-4302.0918,7.01872324647985,0.0,-3.69405898152341,975.798856989204,28.706345,18,5
138541.795187852,3.7255034,-4302.6831,7.01872324647985,0.0,-3.6985116351983,976.994038725315,28.832857,18,5
138542.795187956,3.7252276,-4305.0474,7.01872324647985,0.0,-3.70296444890832,978.189351923557,28.674715,18,5
138543.79518806,3.724834,-4302.4863,7.01872324647985,0.0,-3.70741679088468,979.384664793294,28.690531,18,5
138544.795188165,3.7244401,-4303.2744,7.01872324647985,0.0,-3.71186920298996,980.580122899306,28.793322,18,5
138545.795188269,3.7240069,-4307.6084,7.01872324647985,0.0,-3.71632191246171,981.775799921875,28.63518,18,5
138546.795188373,3.7238493,-4303.4712,7.01872324647985,0.0,-3.72077461040721,982.971524450684,28.603554,18,5
138547.795188478,3.7233768,-4304.8501,7.01872324647985,0.0,-3.72522703998147,984.167328655328,28.571924,18,5
138548.795188582,3.7229435,-4307.4111,7.01872324647985,0.0,-3.72967968659477,985.363330303006,28.477039,18,5
138549.795188686,3.7226679,-4307.6084,7.01872324647985,0.0,-3.73413266006462,986.559508299696,28.516575,18,5
138550.795188791,3.7223923,-4307.4116,7.01872324647985,0.0,-3.73858526593901,987.75567611084,28.769602,18,5
138551.795188895,3.7219198,-4307.0171,7.01872324647985,0.0,-3.74303768339372,988.951945166558,28.809137,18,5
138552.795188999,3.7214866,-4308.5938,7.01872324647985,0.0,-3.74749037244743,990.14842645752,28.817045,18,5
138553.795189104,3.7212896,-4308.5933,7.01872324647985,0.0,-3.75194328940654,991.345032310927,28.730066,18,5
138554.795189208,3.7209351,-4308.0029,7.01872324647985,0.0,-3.75639561434657,992.541593071289,28.682625,18,5
